,id,cause,effect,label
0,1320,They were hot.,The children had a toothache.,0.0
1,63,The boaters set off a flare.,Their boat was rescued.,1.0
2,36,He wanted to iron his pants before work.,The man urgently leaped out of bed.,0.0
3,1033,The police shot the fugitive.,The fugitive fell to the ground.,1.0
4,285,The boy found the television show boring.,He recorded it.,0.0
5,1277,I drank a glass of whisky.,My yawning ceased.,0.0
6,1366,The room was dirty.,I washed the windows.,1.0
7,282,The contestant was in the lead.,The host of the trivia show called on the contestant for an answer.,0.0
8,378,He suffered brain damage.,The patient went into a coma.,1.0
9,229,My friend paid for my ticket.,I sought a refund.,0.0
10,1370,We forgot the water in the teapot.,The teapot whistled.,0.0
11,81,I tipped the bottle.,The liquid in the bottle poured out.,1.0
12,171,The motorcyclist twisted the throttle.,The motorcycle shot forward.,1.0
13,1141,The woman behind me left the door open.,The woman thanked me.,0.0
14,62,I forgot to eat breakfast.,My stomach growled.,1.0
15,196,The boy murmured his reply to his mother.,His mother told him to speak up.,1.0
16,1367,She learned to walk.,The father took his daughter out of her stroller.,1.0
17,1455,He began attending school.,The child was much smaller than his classmates.,0.0
18,467,The student forgot to do her assignment.,The teacher promoted her to the next grade.,0.0
19,324,The car stopped at the crosswalk.,The pedestrian waited on the sidewalk.,0.0
20,1441,The son told his parents that a hamburger is not enough.,They cut the hamburger in half.,0.0
21,2,The woman felt that her friend took advantage of her kindness.,The woman tolerated her friend's difficult behavior.,0.0
22,1339,I stored it in the refrigerator.,The honey lasted longer.,0.0
23,421,The student misspelled the word.,The teacher corrected her.,1.0
24,283,He turned on his nightlight.,The boy was afraid to go to bed.,0.0
25,114,The surfer caught the wave.,She paddled her board into the ocean.,0.0
26,198,I burnt my dinner.,The smoke alarm went off.,1.0
27,1484,Political violence finally ended in the nation.,Many citizens took refuge in other territories.,0.0
28,1102,I blocked the pendulum.,It slowed to a stop.,1.0
29,353,His meal was spicy.,The man drank water with his meal.,1.0
30,1390,The truck crashed into the main pillar of the bridge.,The motorcyclist died.,0.0
31,1004,The forecast predicted high temperatures.,The runner stretched.,0.0
32,1378,He suffered emotional trauma.,The patient went into a fugue state.,1.0
33,1432,She shaved her legs.,The woman's legs were smooth.,1.0
34,1110,I was interested in the professor's lecture.,I asked the professor questions.,0.0
35,482,The rider stroked the horse.,The horse bucked.,0.0
36,163,My breath smelled of garlic.,I brushed my teeth.,1.0
37,1247,The woman dropped syrup on the piano.,A sound played.,0.0
38,154,The boy turned the lid on the jar.,The lid came off.,1.0
39,389,The girl desired her parent's approval.,She obeyed her parent's rules.,1.0
40,125,It ate a fish.,The turtle hid in its shell.,0.0
41,33,The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,1.0
42,380,The woman waved.,The woman spotted her friend from across the room.,1.0
43,1048,The nurse made a mistake during the patient's injection.,The patient bled.,1.0
44,1165,The mother patted the baby's back.,The baby burped.,1.0
45,1336,The bull bucked the rider.,The rider ran at full speed.,0.0
46,170,I removed the books from the desk.,The dust came off the desk.,0.0
47,18,It got dark outside.,The moon became visible in the sky.,1.0
48,140,A burglar broke into the house.,The security alarm went off.,1.0
49,1217,The company was seeking highly specialized talent.,It increased its marketing efforts for new products.,0.0
50,282,The contestant rang the buzzer.,The host of the trivia show called on the contestant for an answer.,1.0
51,1383,The man wanted to spend money.,He cut back on making frivolous purchases.,0.0
52,1321,The poor man recently lost his job.,He begged people on the street for loose change.,1.0
53,1038,The woman felt guilty.,She joined a church.,1.0
54,443,Their responses on the assignment were identical.,The pair of students came under scrutiny by the teacher.,1.0
55,211,The sender tried to solicit money from her.,The woman deleted the email.,1.0
56,56,The police officer dropped the gun.,The gun went off.,1.0
57,86,I saw a woman getting robbed on the street.,I called 911.,1.0
58,456,His mother cooked his favorite meal.,The boy skipped dinner.,0.0
59,1396,She dropped her ski poles.,The skier balanced only with her body.,1.0
60,164,The man was lost.,He asked for directions.,1.0
61,113,I received a package in the mail.,The package triggered my curiosity.,1.0
62,44,The man's eye became infected.,He went blind.,1.0
63,289,The boy painted a picture for his mother.,His mother hung the picture on the wall.,1.0
64,1436,They were looking for illegal drugs.,The police tortured the suspect.,0.0
65,1242,I had too many clothes to wash at the laundromat.,I ran out of laundry detergent.,1.0
66,420,She put a diamond ring on her finger.,The woman ran her finger under cold water.,0.0
67,13,The pond froze over for the winter.,People brought boats to the pond.,0.0
68,1239,A gas tank burst in the hall of the school.,The principal called off classes for the day.,1.0
69,191,The woman had a religious awakening.,She began going to church.,1.0
70,408,I was sobbing.,My eyes became red and puffy.,1.0
71,1016,Her friend gave her a pat on the back.,The girl smiled.,1.0
72,1193,He received a perfect score.,The student hid his test grade from his classmates.,0.0
73,1337,The boy loved staying in his room.,He lifted weights.,0.0
74,230,She was framed.,The woman was wrongly convicted for the crime.,1.0
75,78,The man dropped food on the floor.,His dog jumped up on him.,0.0
76,1163,My lips were covered in garlic.,I brushed my teeth.,0.0
77,1210,The movie was rated R.,The parents allowed their children to watch the movie.,0.0
78,1302,She made a lot of money in her current occupation.,The woman quit her job recently.,0.0
79,92,The photographer got the child to smile.,The photographer quickly changed the child's pose.,0.0
80,1063,The boaters caught a nice current.,Their boat drifted to shore.,1.0
81,1015,I made my friend very tired.,My friend awoke.,0.0
82,248,The girl met her favorite actor.,She asked him for his autograph.,1.0
