Unnamed: 0,id,cause,effect,label,ceq
0,1320,They were hot.,The children had a toothache.,0.0,0.0008111126879001195
1,63,The boaters set off a flare.,Their boat was rescued.,1.0,0.05156423209563367
2,36,He wanted to iron his pants before work.,The man urgently leaped out of bed.,0.0,0.007377753204436673
3,1033,The police shot the fugitive.,The fugitive fell to the ground.,1.0,0.021272490851446908
4,285,The boy found the television show boring.,He recorded it.,0.0,0.014549770524232241
5,1277,I drank a glass of whisky.,My yawning ceased.,0.0,0.004852716367605884
6,1366,The room was dirty.,I washed the windows.,1.0,0.0512691525575849
7,282,The contestant was in the lead.,The host of the trivia show called on the contestant for an answer.,0.0,0.008662752386710364
8,378,He suffered brain damage.,The patient went into a coma.,1.0,0.054135581511852285
9,229,My friend paid for my ticket.,I sought a refund.,0.0,0.030238104571930047
10,1370,We forgot the water in the teapot.,The teapot whistled.,0.0,0.06168551540122104
11,81,I tipped the bottle.,The liquid in the bottle poured out.,1.0,0.025188335050624087
12,171,The motorcyclist twisted the throttle.,The motorcycle shot forward.,1.0,0.19050179182138718
13,1141,The woman behind me left the door open.,The woman thanked me.,0.0,0.01111701811489954
14,62,I forgot to eat breakfast.,My stomach growled.,1.0,0.0410505311135409
15,196,The boy murmured his reply to his mother.,His mother told him to speak up.,1.0,0.018008382902951262
16,1367,She learned to walk.,The father took his daughter out of her stroller.,1.0,0.026014563693648716
17,1455,He began attending school.,The child was much smaller than his classmates.,0.0,0.05792538831532166
18,467,The student forgot to do her assignment.,The teacher promoted her to the next grade.,0.0,0.06429561597646231
19,324,The car stopped at the crosswalk.,The pedestrian waited on the sidewalk.,0.0,0.3038463194514473
20,1441,The son told his parents that a hamburger is not enough.,They cut the hamburger in half.,0.0,0.009344406547612113
21,2,The woman felt that her friend took advantage of her kindness.,The woman tolerated her friend's difficult behavior.,0.0,0.02982935928114559
22,1339,I stored it in the refrigerator.,The honey lasted longer.,0.0,0.008372964817370591
23,421,The student misspelled the word.,The teacher corrected her.,1.0,0.053539716850462986
24,283,He turned on his nightlight.,The boy was afraid to go to bed.,0.0,0.008916929636943025
25,114,The surfer caught the wave.,She paddled her board into the ocean.,0.0,0.10272378578970161
26,198,I burnt my dinner.,The smoke alarm went off.,1.0,0.010905588323318003
27,1484,Political violence finally ended in the nation.,Many citizens took refuge in other territories.,0.0,0.044043012260953654
28,1102,I blocked the pendulum.,It slowed to a stop.,1.0,0.006703253275257137
29,353,His meal was spicy.,The man drank water with his meal.,1.0,0.020324334656928348
30,1390,The truck crashed into the main pillar of the bridge.,The motorcyclist died.,0.0,0.1033890395060098
31,1004,The forecast predicted high temperatures.,The runner stretched.,0.0,0.01315696076899739
32,1378,He suffered emotional trauma.,The patient went into a fugue state.,1.0,0.03186370631262472
33,1432,She shaved her legs.,The woman's legs were smooth.,1.0,0.02825216694256868
34,1110,I was interested in the professor's lecture.,I asked the professor questions.,0.0,0.03161674546033168
35,482,The rider stroked the horse.,The horse bucked.,0.0,0.07173378878437621
36,163,My breath smelled of garlic.,I brushed my teeth.,1.0,0.020442976401695925
37,1247,The woman dropped syrup on the piano.,A sound played.,0.0,0.0413622303560615
38,154,The boy turned the lid on the jar.,The lid came off.,1.0,0.13609536034425915
39,389,The girl desired her parent's approval.,She obeyed her parent's rules.,1.0,0.0198369304620464
40,125,It ate a fish.,The turtle hid in its shell.,0.0,0.03508579701367652
41,33,The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,1.0,0.04441109811809195
42,380,The woman waved.,The woman spotted her friend from across the room.,1.0,0.006886664380889859
43,1048,The nurse made a mistake during the patient's injection.,The patient bled.,1.0,0.041689491215042805
44,1165,The mother patted the baby's back.,The baby burped.,1.0,0.04999608658474112
45,1336,The bull bucked the rider.,The rider ran at full speed.,0.0,0.01934729903507496
46,170,I removed the books from the desk.,The dust came off the desk.,0.0,0.005630943832788986
47,18,It got dark outside.,The moon became visible in the sky.,1.0,0.03108629838092175
48,140,A burglar broke into the house.,The security alarm went off.,1.0,0.04952282016841445
49,1217,The company was seeking highly specialized talent.,It increased its marketing efforts for new products.,0.0,0.048377966308965646
50,282,The contestant rang the buzzer.,The host of the trivia show called on the contestant for an answer.,1.0,0.0090853098349709
51,1383,The man wanted to spend money.,He cut back on making frivolous purchases.,0.0,0.030907376835054606
52,1321,The poor man recently lost his job.,He begged people on the street for loose change.,1.0,0.031073492836964336
53,1038,The woman felt guilty.,She joined a church.,1.0,0.010024798101152874
54,443,Their responses on the assignment were identical.,The pair of students came under scrutiny by the teacher.,1.0,0.01764098793788113
55,211,The sender tried to solicit money from her.,The woman deleted the email.,1.0,0.032347125157704396
56,56,The police officer dropped the gun.,The gun went off.,1.0,0.02036447816242635
57,86,I saw a woman getting robbed on the street.,I called 911.,1.0,0.0035026470575312066
58,456,His mother cooked his favorite meal.,The boy skipped dinner.,0.0,0.10362101143299682
59,1396,She dropped her ski poles.,The skier balanced only with her body.,1.0,0.3926890671049113
60,164,The man was lost.,He asked for directions.,1.0,0.011185754450615155
61,113,I received a package in the mail.,The package triggered my curiosity.,1.0,0.012818528866535945
62,44,The man's eye became infected.,He went blind.,1.0,0.020376108772635262
63,289,The boy painted a picture for his mother.,His mother hung the picture on the wall.,1.0,0.062098048569875504
64,1436,They were looking for illegal drugs.,The police tortured the suspect.,0.0,0.013951641895852294
65,1242,I had too many clothes to wash at the laundromat.,I ran out of laundry detergent.,1.0,0.14968547910635926
66,420,She put a diamond ring on her finger.,The woman ran her finger under cold water.,0.0,0.03366936617029487
67,13,The pond froze over for the winter.,People brought boats to the pond.,0.0,0.00933509053961418
68,1239,A gas tank burst in the hall of the school.,The principal called off classes for the day.,1.0,0.015471309337768429
69,191,The woman had a religious awakening.,She began going to church.,1.0,0.017344348599969982
70,408,I was sobbing.,My eyes became red and puffy.,1.0,0.0002727306857682923
71,1016,Her friend gave her a pat on the back.,The girl smiled.,1.0,0.03607933467975412
72,1193,He received a perfect score.,The student hid his test grade from his classmates.,0.0,0.04550124585961317
73,1337,The boy loved staying in his room.,He lifted weights.,0.0,0.008557696201508345
74,230,She was framed.,The woman was wrongly convicted for the crime.,1.0,0.002654872861247336
75,78,The man dropped food on the floor.,His dog jumped up on him.,0.0,0.018625781231720994
76,1163,My lips were covered in garlic.,I brushed my teeth.,0.0,0.005864128541154513
77,1210,The movie was rated R.,The parents allowed their children to watch the movie.,0.0,0.016935019597498498
78,1302,She made a lot of money in her current occupation.,The woman quit her job recently.,0.0,0.025380578810458333
79,92,The photographer got the child to smile.,The photographer quickly changed the child's pose.,0.0,0.009201391537106644
80,1063,The boaters caught a nice current.,Their boat drifted to shore.,1.0,0.09017929982301592
81,1015,I made my friend very tired.,My friend awoke.,0.0,0.02929593607949764
82,248,The girl met her favorite actor.,She asked him for his autograph.,1.0,0.029702404669314755
83,1160,He entertained the audience.,The audience applauded the comedian on stage.,1.0,0.054343311923558145
84,233,I burst into a fit of laughter.,My teeth began to chatter.,0.0,0.02662670957172679
85,172,The teacher caught the student chewing gum.,The student spit out the gum.,1.0,0.14550483322064503
86,128,They made plans to celebrate their anniversary.,The parents left their children with a babysitter.,1.0,0.013716533792344176
87,55,The man signed the document.,The transaction was voided.,0.0,0.017512634761120405
88,446,The man defied the authorities of the church.,He donated money to the church.,0.0,0.013373243391674396
89,1334,She got into a car accident.,The woman got a body rash.,0.0,0.0075926366010114306
90,1036,He wanted to iron his pants before work.,The man got up earlier.,1.0,0.0027330572836070004
91,131,I rubbed the soap between my hands.,The soap foamed.,1.0,0.06418522993707586
92,193,He feigned interest in the class.,The student flaunted his test grade to his classmates.,0.0,0.05869532211676282
93,16,Her friend gave her a pat on the back.,The girl gasped.,0.0,0.026157583225708454
94,1190,The baby's name was called.,The mother picked up the baby.,0.0,0.04706367638891111
95,134,The girl came across an unfamiliar word in her textbook.,She chucked the textbook across the room.,0.0,0.017918642572867717
96,1496,I went to a concert.,My mind was full of paintings.,0.0,0.0027762588236167995
97,1174,A cat got stuck in the tree.,The boy avoided the tree.,0.0,0.010567137915540148
98,1174,A bird built a nest in the tree.,The boy avoided the tree.,1.0,0.018882014208925057
99,327,It was a clear night.,I went to bed.,0.0,0.015643441695170436
100,194,He went away to camp.,The boy felt homesick.,1.0,0.04053008549958185
101,1090,His grandfather was deaf.,The boy communicated with his grandfather by writing.,1.0,0.020509082753114753
102,226,I was unhappy.,My jaw dropped open.,0.0,0.0029027660709157674
103,191,The woman had a religious awakening.,She began travelling abroad.,0.0,0.006929679265464993
104,1085,There were many empty tables.,The service at the restaurant was quick.,1.0,0.012547310344817925
105,245,Our group's conversation gradually lulled to silence.,I became enraged.,0.0,0.0011006411206562576
106,144,The driver rotated the steering wheel.,The car turned.,1.0,0.04269845268499325
107,1370,We forgot the water in the teapot.,The teapot cooled.,1.0,0.04199604057599697
108,396,She hit a patch of ice.,The skier slipped on the slope.,1.0,0.024822962286500373
109,1440,The man grew tired of having so many things.,He sold his belongings.,1.0,0.017185783062699127
110,1133,The group was offended by the woman's faux pas.,The woman apologized.,1.0,0.01519585242650671
111,145,They were outnumbered.,The army surrendered the battle.,1.0,0.011739636514252923
112,284,The woman wanted to be a doctor.,She visited the hospital.,0.0,0.017444664300691762
113,183,I planted the seeds in the soil.,The seeds sprouted.,1.0,0.015761427371223886
114,1200,She pounded on the door.,The woman felt extremely fatigued.,1.0,0.005952679470556848
115,364,I downloaded a virus.,The computer crashed.,1.0,0.09790994140153012
116,349,The hunter ran out of ammunition.,He aimed at the deer.,0.0,0.08291979902977828
